customer_id,attrition_risk_proxy,risk_score,risk_category
CUST00001,Low,0.425546843,Medium
CUST00002,Medium,0.277369584,Low
CUST00003,Low,0.625971244,Medium
CUST00004,Low,0.345574319,Medium
CUST00005,Low,0.343608502,Medium
CUST00006,Low,0.689617896,High
CUST00007,Low,0.286501357,Low
CUST00008,Low,0.174081844,Low
CUST00009,Medium,0.462686824,Medium
CUST00010,Medium,0.283769974,Low
CUST00011,Low,0.151277577,Low
CUST00012,High,0.682780756,High
CUST00013,Medium,0.257539651,Low
CUST00014,High,0.351847771,Medium
CUST00015,Low,0.444256082,Medium
CUST00016,High,0.909993769,High
CUST00017,High,0.74084868,High
CUST00018,High,0.58980878,Medium
CUST00019,Medium,0.392547787,Medium
CUST00020,Low,0.611978688,Medium
CUST00021,Low,0.411094883,Medium
CUST00022,Low,0.25770424,Low
CUST00023,High,0.610841843,Medium
CUST00024,Low,0.674678025,High
CUST00025,High,0.51009396,Medium
CUST00026,High,0.471407716,Medium
CUST00027,High,0.765166095,High
CUST00028,Low,0.203327821,Low
CUST00029,Low,0.21150902,Low
CUST00030,High,0.556900753,Medium
CUST00031,Medium,0.442804283,Medium
CUST00032,Low,0.180100292,Low
CUST00033,Low,0.156573955,Low
CUST00034,Low,0.50416383,Medium
CUST00035,Medium,0.456432603,Medium
CUST00036,Low,0.177641772,Low
CUST00037,Low,0.302482646,Low
CUST00038,Low,0.49096017,Medium
CUST00039,High,0.750425585,High
CUST00040,Low,0.230504154,Low
CUST00041,High,0.695695081,High
CUST00042,Low,0.33060713,Medium
CUST00043,Medium,0.317704152,Low
CUST00044,Low,0.251997735,Low
CUST00045,Low,0.20426185,Low
CUST00046,High,0.72749229,High
CUST00047,Low,0.261440253,Low
CUST00048,Low,0.40223354,Medium
CUST00049,Low,0.310747336,Low
CUST00050,Low,0.176777257,Low
CUST00051,Medium,0.418021087,Medium
CUST00052,High,0.796018907,High
CUST00053,High,0.291715743,Low
CUST00054,High,0.760015304,High
CUST00055,Medium,0.519848237,Medium
CUST00056,Medium,0.398724755,Medium
CUST00057,Medium,0.481711779,Medium
CUST00058,Medium,0.615514195,Medium
CUST00059,High,0.792627305,High
CUST00060,Low,0.19549027,Low
CUST00061,Low,0.180226238,Low
CUST00062,High,0.71124968,High
CUST00063,Medium,0.345052122,Medium
CUST00064,Low,0.614534718,Medium
CUST00065,Medium,0.330329214,Medium
CUST00066,Low,0.355066689,Medium
CUST00067,High,0.911260197,High
CUST00068,Low,0.318760132,Low
CUST00069,Low,0.338917106,Medium
CUST00070,Low,0.389082439,Medium
CUST00071,Medium,0.280246425,Low
CUST00072,High,0.497688981,Medium
CUST00073,Low,0.302279719,Low
CUST00074,High,0.882246139,High
CUST00075,High,0.880385688,High
CUST00076,Low,0.27055251,Low
CUST00077,Medium,0.354204586,Medium
CUST00078,Medium,0.436289542,Medium
CUST00079,Low,0.279239124,Low
CUST00080,Medium,0.589374454,Medium
CUST00081,Low,0.308452542,Low
CUST00082,Low,0.245167439,Low
CUST00083,Low,0.66390132,High
CUST00084,Medium,0.41054582,Medium
CUST00085,Low,0.678969326,High
CUST00086,Medium,0.176670878,Low
CUST00087,High,0.676381631,High
CUST00088,High,0.611652412,Medium
CUST00089,Low,0.232887087,Low
CUST00090,High,0.796489068,High
CUST00091,High,0.644908816,Medium
CUST00092,Low,0.386689993,Medium
CUST00093,High,0.802410755,High
CUST00094,High,0.787734008,High
CUST00095,Low,0.251310393,Low
CUST00096,High,0.784978303,High
CUST00097,Low,0.444788809,Medium
CUST00098,Medium,0.257327604,Low
CUST00099,Low,0.419846666,Medium
CUST00100,High,0.673339782,High
CUST00101,Low,0.442642528,Medium
CUST00102,Low,0.597617013,Medium
CUST00103,Low,0.277721475,Low
CUST00104,High,0.210140352,Low
CUST00105,Low,0.428778503,Medium
CUST00106,Low,0.270619924,Low
CUST00107,Low,0.31947666,Low
CUST00108,Low,0.589351768,Medium
CUST00109,Low,0.225145444,Low
CUST00110,Low,0.210717253,Low
CUST00111,Low,0.341787145,Medium
CUST00112,Low,0.198802621,Low
CUST00113,Low,0.398643998,Medium
CUST00114,High,0.636329197,Medium
CUST00115,Medium,0.286351415,Low
CUST00116,High,0.547881367,Medium
CUST00117,Low,0.219092771,Low
CUST00118,Low,0.434815488,Medium
CUST00119,Medium,0.350257771,Medium
CUST00120,Low,0.341406125,Medium
CUST00121,Low,0.492321621,Medium
CUST00122,Medium,0.437401437,Medium
CUST00123,Medium,0.324148479,Low
CUST00124,High,0.900485375,High
CUST00125,Low,0.20429744,Low
CUST00126,Medium,0.623680629,Medium
CUST00127,Low,0.19011672,Low
CUST00128,Low,0.487698371,Medium
CUST00129,Low,0.272209622,Low
CUST00130,Low,0.283608994,Low
CUST00131,Medium,0.557121129,Medium
CUST00132,High,0.810036468,High
CUST00133,Low,0.570592511,Medium
CUST00134,Low,0.326311006,Low
CUST00135,Low,0.364484424,Medium
CUST00136,High,0.698781068,High
CUST00137,High,0.793045838,High
CUST00138,Medium,0.432687414,Medium
CUST00139,Medium,0.498708372,Medium
CUST00140,Medium,0.359921984,Medium
CUST00141,Medium,0.524764365,Medium
CUST00142,Medium,0.631466535,Medium
CUST00143,Low,0.36850781,Medium
CUST00144,Low,0.237241396,Low
CUST00145,Low,0.458858272,Medium
CUST00146,Medium,0.425720266,Medium
CUST00147,High,0.787549191,High
CUST00148,High,0.538026084,Medium
CUST00149,Medium,0.417646546,Medium
CUST00150,Low,0.240388309,Low
CUST00151,High,0.892088348,High
CUST00152,High,0.298158776,Low
CUST00153,Low,0.248013053,Low
CUST00154,Medium,0.492943675,Medium
CUST00155,Low,0.131993021,Low
CUST00156,Low,0.212787343,Low
CUST00157,Low,0.138409354,Low
CUST00158,High,0.587848861,Medium
CUST00159,Medium,0.458550306,Medium
CUST00160,High,0.581069476,Medium
CUST00161,Low,0.254138021,Low
CUST00162,High,0.72979074,High
CUST00163,High,0.558055293,Medium
CUST00164,Low,0.605369198,Medium
CUST00165,Low,0.340764387,Medium
CUST00166,Low,0.282577896,Low
CUST00167,Low,0.424319662,Medium
CUST00168,Low,0.183731921,Low
CUST00169,Low,0.244500641,Low
CUST00170,High,0.487415341,Medium
CUST00171,Medium,0.196676458,Low
CUST00172,Low,0.446975393,Medium
CUST00173,Low,0.172213432,Low
CUST00174,High,0.833405353,High
CUST00175,Low,0.385799362,Medium
CUST00176,High,0.66266839,High
CUST00177,Low,0.668532987,High
CUST00178,Medium,0.481985881,Medium
CUST00179,Medium,0.207994591,Low
CUST00180,Low,0.210309554,Low
CUST00181,Low,0.195442527,Low
CUST00182,High,0.894095807,High
CUST00183,High,0.757192335,High
CUST00184,High,0.889622719,High
CUST00185,High,0.371038326,Medium
CUST00186,High,0.826599313,High
CUST00187,Medium,0.679824635,High
CUST00188,Low,0.24410061,Low
CUST00189,High,0.704625245,High
CUST00190,High,0.446000426,Medium
CUST00191,Medium,0.185266045,Low
CUST00192,Medium,0.421664609,Medium
CUST00193,Low,0.366010705,Medium
CUST00194,Low,0.18175817,Low
CUST00195,Low,0.278888849,Low
CUST00196,Medium,0.321132268,Low
CUST00197,Low,0.268648958,Low
CUST00198,Low,0.240820015,Low
CUST00199,Low,0.343311632,Medium
CUST00200,Medium,0.577960697,Medium
CUST00201,Medium,0.42289138,Medium
CUST00202,Low,0.201582609,Low
CUST00203,High,0.642427334,Medium
CUST00204,High,0.795253524,High
CUST00205,Low,0.165607525,Low
CUST00206,High,0.732611996,High
CUST00207,Medium,0.342168818,Medium
CUST00208,High,0.44752641,Medium
CUST00209,Low,0.397539785,Medium
